YEAR      MONTH     DAY       HOUR      MIN       SEC       GDLATR        GDLONR        GDALT      SNL        VIPE1         DVIPE1        VIPN1         DVIPN1        
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01      93.75       0.21  -1.04000e+02   2.00000e+01      10.90000       0.90000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01      97.50       1.46  -2.86000e+02   2.52000e+01      -3.10000       1.30000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     101.25       2.15  -1.54500e+02   5.50000e+01     -11.30000       2.00000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     105.00       1.60  -1.93300e+02   4.03000e+01       4.70000       2.10000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     108.75       1.18   5.70000e+02   1.62000e+01      -4.10000       1.40000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     112.50       0.93   8.08800e+02   9.00000e+00     -15.30000       0.70000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     116.25       1.00   4.61500e+02   1.04000e+01     -28.40000       1.30000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     120.00       1.12   4.43000e+02   1.24000e+01      -7.60000       1.60000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     123.75       0.33   3.45000e+01   1.51000e+01      34.40000       0.60000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     127.50       0.96  -5.24400e+02   5.80000e+00     -29.00000       0.60000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     131.25       1.13   5.80600e+02   1.27000e+01       8.10000       1.80000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     135.00       0.95   1.03100e+02   2.28000e+01     -13.90000       2.30000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     138.75       0.55  -2.27400e+02   1.15000e+01       0.20000       0.80000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     142.50       1.12  -4.78300e+02   1.55000e+01       2.10000       2.20000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     146.25       1.14  -6.49900e+02   1.57000e+01       4.40000       2.10000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     150.00       0.57   7.93900e+02   2.00000e+01       4.20000       0.50000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     153.75       1.16   5.30000e+02   1.49000e+01       1.00000       1.90000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     157.50       1.17  -4.50200e+02   1.51000e+01       3.70000       2.20000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     161.25       1.05   6.10600e+02   8.50000e+00     -29.80000       1.30000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     165.00       1.17   2.46800e+02   1.39000e+01      -0.50000       2.00000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     168.75       1.16   3.43900e+02   1.25000e+01       0.10000       2.40000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     172.50       0.77  -5.26400e+02   8.30000e+00     -23.90000       0.70000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     176.25       1.17  -4.11000e+01   1.43000e+01       3.30000       1.80000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     180.00       1.36   1.74700e+02   4.49000e+01       5.20000      10.00000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     183.75       2.07  -4.40000e+00   8.50000e+00    -161.90000      29.10000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     187.50      -0.02  -5.06000e+01   3.76000e+01     -29.10000       0.80000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     367.50       0.96   1.36000e+01   3.46000e+01    -178.60000       3.70000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     371.25       2.04   1.10000e+00   1.67000e+01     227.20000       1.90000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     375.00       0.15   3.69000e+01   1.31800e+02    -105.10000       0.80000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     555.00       0.98   6.00000e-01   5.22000e+01    -185.20000       2.00000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     558.75       2.05  -5.00000e-01   2.45000e+01    -169.70000       3.40000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     562.50       0.07   9.28000e+01   1.87300e+02     -37.60000       5.00000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     742.50       0.95  -2.52000e+01   6.83000e+01     -65.40000       1.40000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     746.25       2.05   5.30000e+00   3.29000e+01    -164.90000       3.60000  
  2014         8        20        23         0        46    -1.19500e+01  -7.68700e+01     750.00      -0.06   4.64000e+01   2.80800e+02     -40.10000       1.50000  
  2014         8        20        23         1        12    -1.19500e+01  -7.68700e+01      93.75       0.35  -1.97400e+02   2.00000e+01       7.60000       0.50000  
  2014         8        20        23         1        12    -1.19500e+01  -7.68700e+01      97.50       1.40  -1.30000e+01   2.00000e+01     -12.90000       1.50000  
  2014         8        20        23         1        12    -1.19500e+01  -7.68700e+01     101.25       2.12  -1.24600e+02   2.00000e+01      14.60000       2.20000  
  2014         8        20        23         1        12    -1.19500e+01  -7.68700e+01     105.00       1.65  -2.45700e+02   2.00000e+01      50.30000       1.90000  
  2014         8        20        23         1        12    -1.19500e+01  -7.68700e+01     108.75      -0.00   3.70300e+02   2.00000e+01      44.20000       1.40000  
  2014         8        20        23         1        12    -1.19500e+01  -7.68700e+01     112.50       0.04  -6.53300e+02   2.00000e+01      -0.40000       0.60000  
  2014         8        20        23         1        12    -1.19500e+01  -7.68700e+01     116.25      -0.14  -1.39500e+02   2.00000e+01      11.00000       0.40000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01      93.75       0.34   1.59000e+01   5.15000e+01       6.60000       1.00000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01      97.50       1.44  -1.63700e+02   3.91000e+01     -16.40000       1.40000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     101.25       2.15  -3.14300e+02   2.00000e+01     -13.60000       2.10000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     105.00       1.63  -3.11800e+02   2.00000e+01      36.60000       1.80000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     108.75       0.08   3.43500e+02   2.00000e+01      22.70000       3.00000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     112.50       0.05  -2.68100e+02   2.00000e+01       0.20000       0.60000  
  2014         8        20        23         1        36    -1.19500e+01  -7.68700e+01     116.25      -0.24  -9.50000e+01   2.00000e+01      13.90000       0.70000  
